item_id,name,category,price,link,short_description,designer,basic_color,furniture
69286806,BEKANT,Chests of drawers & drawer units,1000,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-white-s69286806/,"        Storage unit with smart lock,          41x61 cm",IKEA of Sweden/Eva Lilja Löwenhielm,white,other
49286510,BEKANT,Chests of drawers & drawer units,939,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-black-s49286510/,"        Storage unit with smart lock,          41x61 cm",Eva Lilja Löwenhielm/IKEA of Sweden,black,other
79282426,BEKANT,Chests of drawers & drawer units,905,https://www.ikea.com/sa/en/p/bekant-storage-unit-on-castors-mesh-white-s79282426/,"        Storage unit on castors,          41x61 cm",Eva Lilja Löwenhielm,white,other
40383469,NORDLI,Chests of drawers & drawer units,400,https://www.ikea.com/sa/en/p/nordli-modular-chest-of-3-drawers-white-40383469/,"        Modular chest of 3 drawers,          80x68 cm",Ola Wihlborg,white,other
99211758,NORDLI,Chests of drawers & drawer units,1060,https://www.ikea.com/sa/en/p/nordli-chest-of-7-drawers-white-anthracite-s99211758/,"        Chest of 7 drawers,          80x122 cm",Ola Wihlborg,white,other
49276629,NORDLI,Chests of drawers & drawer units,1220,https://www.ikea.com/sa/en/p/nordli-chest-of-6-drawers-white-s49276629/,"        Chest of 6 drawers,          160x54 cm",Ola Wihlborg,white,other
69276633,NORDLI,Chests of drawers & drawer units,1320,https://www.ikea.com/sa/en/p/nordli-chest-of-6-drawers-white-s69276633/,"        Chest of 6 drawers,          120x99 cm",Ola Wihlborg,white,other
50391421,NORDLI,Chests of drawers & drawer units,140,https://www.ikea.com/sa/en/p/nordli-top-and-plinth-anthracite-50391421/,"        Top and plinth,          40x47 cm",Ola Wihlborg,other,other
99239502,NORDLI,Chests of drawers & drawer units,1060,https://www.ikea.com/sa/en/p/nordli-chest-of-7-drawers-white-s99239502/,"        Chest of 7 drawers,          80x122 cm",Ola Wihlborg,white,other
19248015,NORDLI,Chests of drawers & drawer units,1580,https://www.ikea.com/sa/en/p/nordli-chest-of-9-drawers-white-s19248015/,"        Chest of 9 drawers,          160x99 cm",Ola Wihlborg,white,other
10365928,NORDLI,Chests of drawers & drawer units,320,https://www.ikea.com/sa/en/p/nordli-modular-chest-of-3-drawers-anthracite-10365928/,"        Modular chest of 3 drawers,          40x68 cm",Ola Wihlborg,other,other
19211757,NORDLI,Chests of drawers & drawer units,1060,https://www.ikea.com/sa/en/p/nordli-chest-of-6-drawers-white-anthracite-s19211757/,"        Chest of 6 drawers,          160x54 cm",Ola Wihlborg,white,other
49276549,NORDLI,Chests of drawers & drawer units,620,https://www.ikea.com/sa/en/p/nordli-chest-of-2-drawers-white-s49276549/,"        Chest of 2 drawers,          40x99 cm",Ola Wihlborg,white,other
